Name,Team,URL,Sprint,Climber,Hills,GC,Time Trial,One Day Races
jon aberasturi,,https://www.procyclingstats.com/rider/jon-aberasturi,2501,66,828,221,157,737
roger adria,,https://www.procyclingstats.com/rider/roger-adria,34,445,503,302,29,586
edoardo affini,,https://www.procyclingstats.com/rider/edoardo-affini,217,2,127,234,1491,152
giovanni aleotti,,https://www.procyclingstats.com/rider/giovanni-aleotti,28,474,370,831,73,379
joao almeida,,https://www.procyclingstats.com/rider/joao-almeida,127,3656,980,3854,2308,421
jorge arcas,,https://www.procyclingstats.com/rider/jorge-arcas,30,84,104,225,49,157
thymen arensman,,https://www.procyclingstats.com/rider/thymen-arensman,23,1234,456,1451,1187,32
bruno armirail,,https://www.procyclingstats.com/rider/bruno-armirail,5,255,208,604,1358,127
kasper asgreen,,https://www.procyclingstats.com/rider/kasper-asgreen,357,482,1410,776,2190,1594
maurice ballerstedt,,https://www.procyclingstats.com/rider/maurice-ballerstedt,97,22,78,68,28,147
filippo baroncini,,https://www.procyclingstats.com/rider/filippo-baroncini,72,90,205,188,140,277
george bennett,,https://www.procyclingstats.com/rider/george-bennett,86,2761,983,3444,258,835
xabier berasategi garmendia,,https://www.procyclingstats.com/rider/xabier-berasategi-garmendia,6,28,90,9,,130
welay hagos berhe,,https://www.procyclingstats.com/rider/welay-hagos-berhe,,104,26,141,,9
urko berrade fernandez,,https://www.procyclingstats.com/rider/urko-berrade-fernandez,16,86,111,300,99,57
clement berthet,,https://www.procyclingstats.com/rider/clement-berthet,1,460,217,385,17,435
pavel bittner,,https://www.procyclingstats.com/rider/pavel-bittner,218,4,164,39,22,236
mikel bizkarra,,https://www.procyclingstats.com/rider/mikel-bizkarra,25,832,175,966,28,191
joan bou,,https://www.procyclingstats.com/rider/joan-bou,22,230,216,343,8,99
geoffrey bouchard,,https://www.procyclingstats.com/rider/geoffrey-bouchard,2,744,161,692,13,131
vito braet,,https://www.procyclingstats.com/rider/vito-braet,200,44,206,21,8,337
gleb brussenskiy,,https://www.procyclingstats.com/rider/gleb-brussenskiy,178,14,73,11,36,262
sven erik bystrom,,https://www.procyclingstats.com/rider/sven-erik-bystrom,483,332,653,735,111,783
victor campenaerts,,https://www.procyclingstats.com/rider/victor-campenaerts,333,355,730,916,3315,768
carlos canal,,https://www.procyclingstats.com/rider/carlos-canal,124,107,334,190,104,266
richard carapaz,,https://www.procyclingstats.com/rider/richard-carapaz,189,4132,1464,3476,539,1247
damiano caruso,,https://www.procyclingstats.com/rider/damiano-caruso,636,4230,1576,4523,1310,835
pablo castrillo zapater,,https://www.procyclingstats.com/rider/pablo-castrillo-zapater,,160,46,269,81,48
mattia cattaneo,,https://www.procyclingstats.com/rider/mattia-cattaneo,211,1191,726,1428,1793,717
jefferson alexander cepeda,,https://www.procyclingstats.com/rider/jefferson-alexander-cepeda,0,430,62,618,84,127
thomas champion,,https://www.procyclingstats.com/rider/thomas-champion,,36,2,117,26,38
giulio ciccone,,https://www.procyclingstats.com/rider/giulio-ciccone,116,3228,904,1523,90,1116
bryan coquard,,https://www.procyclingstats.com/rider/bryan-coquard,5543,208,2344,1192,289,2963
rui costa,,https://www.procyclingstats.com/rider/rui-costa,668,5336,2659,6226,1621,4326
thomas de gendt,,https://www.procyclingstats.com/rider/thomas-de-gendt,467,1632,1388,1287,2230,248
alessandro de marchi,,https://www.procyclingstats.com/rider/alessandro-de-marchi,151,1506,834,618,519,1043
sander de pestel,,https://www.procyclingstats.com/rider/sander-de-pestel,100,1,48,28,71,175
laurens de plus,,https://www.procyclingstats.com/rider/laurens-de-plus,33,940,492,1310,392,248
isaac del toro,,https://www.procyclingstats.com/rider/isaac-del-toro,1,334,246,604,106,86
nico denz,,https://www.procyclingstats.com/rider/nico-denz,254,218,529,368,317,436
owain doull,,https://www.procyclingstats.com/rider/owain-doull,511,117,428,493,265,697
edward irl dunbar,,https://www.procyclingstats.com/rider/edward-irl-dunbar,98,782,352,1281,225,316
kenny elissonde,,https://www.procyclingstats.com/rider/kenny-elissonde,48,1348,324,1241,27,287
felix engelhardt,,https://www.procyclingstats.com/rider/felix-engelhardt,8,134,267,182,1,360
ruben fernandez,,https://www.procyclingstats.com/rider/ruben-fernandez,138,601,508,1437,133,264
lorenzo fortunato,,https://www.procyclingstats.com/rider/lorenzo-fortunato,38,1082,146,1152,,153
marco frigo,,https://www.procyclingstats.com/rider/marco-frigo,20,204,101,94,15,20
felix gall,,https://www.procyclingstats.com/rider/felix-gall,2,1552,241,1044,95,324
patrick gamper,,https://www.procyclingstats.com/rider/patrick-gamper,116,19,81,93,169,203
gianmarco garofoli,,https://www.procyclingstats.com/rider/gianmarco-garofoli,15,31,126,47,2,62
david gaudu,,https://www.procyclingstats.com/rider/david-gaudu,35,3610,1090,2741,142,1679
kevin geniets,,https://www.procyclingstats.com/rider/kevin-geniets,64,232,270,360,216,560
tao geoghegan hart,,https://www.procyclingstats.com/rider/tao-geoghegan-hart,158,2052,586,2545,888,261
lorenzo germani,,https://www.procyclingstats.com/rider/lorenzo-germani,6,36,52,90,59,47
elie gesbert,,https://www.procyclingstats.com/rider/elie-gesbert,130,614,422,758,12,395
robert gesink,,https://www.procyclingstats.com/rider/robert-gesink,658,4248,1400,5189,1196,2888
kobe goossens,,https://www.procyclingstats.com/rider/kobe-goossens,25,236,316,317,23,416
kamil gradek,,https://www.procyclingstats.com/rider/kamil-gradek,438,8,37,548,719,206
jonas gregaard,,https://www.procyclingstats.com/rider/jonas-gregaard,114,214,218,462,39,145
kaden groves,,https://www.procyclingstats.com/rider/kaden-groves,1316,59,1343,226,357,421
thibault guernalec,,https://www.procyclingstats.com/rider/thibault-guernalec,28,39,124,420,719,56
simon guglielmi,,https://www.procyclingstats.com/rider/simon-guglielmi,54,284,158,155,3,158
jorge gutierrez gonzalez,,https://www.procyclingstats.com/rider/jorge-gutierrez-gonzalez,,66,10,32,2,4
jack haig,,https://www.procyclingstats.com/rider/jack-haig,127,2387,992,2899,313,660
chris hamilton,,https://www.procyclingstats.com/rider/chris-hamilton,13,532,394,798,74,234
chris harper,,https://www.procyclingstats.com/rider/chris-harper,68,757,216,981,278,420
kim heiduk,,https://www.procyclingstats.com/rider/kim-heiduk,132,5,82,92,75,108
quinten hermans,,https://www.procyclingstats.com/rider/quinten-hermans,182,499,1081,632,89,747
jesus herrada lopez,,https://www.procyclingstats.com/rider/jesus-herrada-lopez,481,2026,1366,2285,912,2021
juri hollmann,,https://www.procyclingstats.com/rider/juri-hollmann,1,18,31,95,146,101
laurens huys,,https://www.procyclingstats.com/rider/laurens-huys,18,188,129,244,4,90
unai iribar jauregi,,https://www.procyclingstats.com/rider/unai-iribar-jauregi,3,72,39,19,1,58
xabier isasa larranaga,,https://www.procyclingstats.com/rider/xabier-isasa-larranaga,,18,57,11,22,
ion izagirre,,https://www.procyclingstats.com/rider/ion-izagirre,172,4284,2224,5371,3014,1777
txomin juaristi,,https://www.procyclingstats.com/rider/txomin-juaristi,9,119,88,249,257,44
rainer kepplinger,,https://www.procyclingstats.com/rider/rainer-kepplinger,20,82,50,229,155,10
james knox,,https://www.procyclingstats.com/rider/james-knox,45,794,350,1142,52,137
patrick konrad,,https://www.procyclingstats.com/rider/patrick-konrad,330,2628,1583,2492,452,1456
andreas kron,,https://www.procyclingstats.com/rider/andreas-kron,6,810,1024,449,6,789
steven kruijswijk,,https://www.procyclingstats.com/rider/steven-kruijswijk,302,3947,1300,4379,1440,339
stefan kung,,https://www.procyclingstats.com/rider/stefan-kung,577,464,1506,1634,5240,2679
sepp kuss,,https://www.procyclingstats.com/rider/sepp-kuss,42,3100,538,2442,314,188
victor lafay,,https://www.procyclingstats.com/rider/victor-lafay,25,602,468,376,13,479
mikel landa,,https://www.procyclingstats.com/rider/mikel-landa,117,6584,1100,5981,298,974
jonathan lastra,,https://www.procyclingstats.com/rider/jonathan-lastra,124,594,584,768,11,429
oier lazkano,,https://www.procyclingstats.com/rider/oier-lazkano,66,220,342,408,195,439
mathis le berre,,https://www.procyclingstats.com/rider/mathis-le-berre,30,18,96,76,,114
william junior lecerf,,https://www.procyclingstats.com/rider/william-junior-lecerf,6,218,188,222,62,48
gijs leemreize,,https://www.procyclingstats.com/rider/gijs-leemreize,9,336,156,229,40,32
enzo leijnse,,https://www.procyclingstats.com/rider/enzo-leijnse,20,5,6,15,15,24
florian lipowitz,,https://www.procyclingstats.com/rider/florian-lipowitz,3,352,78,460,59,58
